id,labor,task,date_assigned,status
1,68,1,2024-07-28,Completed
2,69,2,2024-07-28,Pending
3,70,3,2024-07-28,Completed
4,71,4,2024-07-28,Pending
5,72,5,2024-07-28,Completed
6,73,1,2024-07-28,Pending
7,74,2,2024-07-28,Completed
8,75,3,2024-07-28,Pending
9,76,4,2024-07-28,Completed
10,77,5,2024-07-28,Pending
11,78,1,2024-07-28,Completed
12,79,2,2024-07-28,Pending
13,80,3,2024-07-28,Completed
14,81,4,2024-07-28,Pending
15,82,5,2024-07-28,Completed
16,83,1,2024-07-28,Pending
17,84,2,2024-07-28,Completed
18,85,3,2024-07-28,Pending
19,86,4,2024-07-28,Completed
20,87,5,2024-07-28,Pending
21,88,1,2024-07-28,Completed
22,89,2,2024-07-28,Pending
23,90,3,2024-07-28,Completed
24,91,4,2024-07-28,Pending
25,92,5,2024-07-28,Completed
26,93,1,2024-07-28,Pending
27,94,2,2024-07-28,Completed
28,95,3,2024-07-28,Pending
29,96,4,2024-07-28,Completed
30,97,5,2024-07-28,Pending